0,0,29,9,9,19,0,0,50,0,0,10,16,0,25,17,0,0
0,0,1,19,30,36,24,62,0,33,51,28,69,86,26,21,0,22
37,10,0,9,111,7,74,11,0,20,0,0,50,9,0,35,15,18
0,0,3,134,7,67,79,24,0,106,30,0,24,17,0,40,81,17
5,16,97,0,33,0,36,6,67,13,0,0,25,0,0,12,56,114
14,66,0,111,53,0,0,19,61,65,62,9,44,26,22,7,28,55
32,83,0,76,67,26,90,83,75,108,15,29,0,0,18,34,8,9
27,15,62,58,57,82,91,128,151,107,39,134,21,51,80,22,81,78
0,112,3,89,70,64,2,166,225,228,65,25,41,100,85,138,0,58
62,0,45,138,72,26,132,255,185,191,204,8,57,42,90,118,0,60
66,94,38,109,74,99,133,51,200,255,184,78,73,50,36,46,0,109
37,0,0,0,118,53,156,170,54,84,123,185,83,102,113,0,18,53
0,0,44,91,9,47,76,255,180,236,164,33,85,50,47,0,47,0
0,0,57,0,86,116,0,93,255,181,119,37,65,45,32,64,45,19
37,0,56,0,120,80,104,47,154,52,54,118,119,18,0,0,14,0
0,15,34,0,18,56,123,29,151,80,105,123,64,46,0,0,29,11
79,0,24,0,0,60,74,55,78,5,87,56,97,0,0,10,0,29
7,0,12,0,19,0,35,48,0,39,34,0,39,0,32,0,22,0
